Metric		Current
CONDITIONAL_COMPLEXITY_COMPONENT_CONTROLLERS_NEGLIGIBLE_RISK_COUNT		48
CONDITIONAL_COMPLEXITY_COMPONENT_CONTROLLERS_LOW_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_CONTROLLERS_LOW_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_CONTROLLERS_LOW_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_CONTROLLERS_MEDIUM_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_CONTROLLERS_MEDIUM_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_CONTROLLERS_MEDIUM_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_CONTROLLERS_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_CONTROLLERS_HIGH_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_CONTROLLERS_HIGH_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_CONTROLLERS_VERY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_CONTROLLERS_VERY_HIGH_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_CONTROLLERS_VERY_HIGH_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_ROUTES_NEGLIGIBLE_RISK_LOC		15
CONDITIONAL_COMPLEXITY_COMPONENT_ROUTES_NEGLIGIBLE_RISK_PERCENTAGE		100
CONDITIONAL_COMPLEXITY_COMPONENT_ROUTES_NEGLIGIBLE_RISK_COUNT		2
CONDITIONAL_COMPLEXITY_COMPONENT_ROUTES_LOW_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_ROUTES_LOW_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_ROUTES_LOW_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_ROUTES_MEDIUM_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_ROUTES_MEDIUM_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_ROUTES_MEDIUM_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_ROUTES_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_ROUTES_HIGH_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_ROUTES_HIGH_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_ROUTES_VERY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_ROUTES_VERY_HIGH_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_ROUTES_VERY_HIGH_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_JS_NEGLIGIBLE_RISK_LOC		545
CONDITIONAL_COMPLEXITY_COMPONENT_JS_NEGLIGIBLE_RISK_PERCENTAGE		100
CONDITIONAL_COMPLEXITY_COMPONENT_JS_NEGLIGIBLE_RISK_COUNT		58
CONDITIONAL_COMPLEXITY_COMPONENT_JS_LOW_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_JS_LOW_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_JS_LOW_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_JS_MEDIUM_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_JS_MEDIUM_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_JS_MEDIUM_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_JS_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_JS_HIGH_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_JS_HIGH_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_COMPONENT_JS_VERY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_COMPONENT_JS_VERY_HIGH_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_COMPONENT_JS_VERY_HIGH_RISK_COUNT		0
DUPLICATION_NUMBER_OF_DUPLICATES		2,021
DUPLICATION_NUMBER_OF_FILES_WITH_DUPLICATES		73
DUPLICATION_NUMBER_OF_DUPLICATED_LINES		4,834
DUPLICATION_NUMBER_OF_CLEANED_LINES		9,603
DUPLICATION_PERCENTAGE		50.34
UNIT_DUPLICATES_COUNT		1
DUPLICATION_NUMBER_OF_DUPLICATED_LINES_PRIMARY_CONTROLLERS		3,644
DUPLICATION_NUMBER_OF_CLEANED_LINES_PRIMARY_CONTROLLERS		3,644
DUPLICATION_PERCENTAGE_PRIMARY_CONTROLLERS		100
DUPLICATION_NUMBER_OF_DUPLICATED_LINES_PRIMARY_MODELS		1,116
DUPLICATION_NUMBER_OF_CLEANED_LINES_PRIMARY_MODELS		1,116
DUPLICATION_PERCENTAGE_PRIMARY_MODELS		100
DUPLICATION_NUMBER_OF_DUPLICATED_LINES_PRIMARY_ROUTES		74
DUPLICATION_NUMBER_OF_CLEANED_LINES_PRIMARY_ROUTES		74
DUPLICATION_PERCENTAGE_PRIMARY_ROUTES		100
DUPLICATION_NUMBER_OF_DUPLICATED_LINES_PRIMARY_CONFIG		0
DUPLICATION_NUMBER_OF_CLEANED_LINES_PRIMARY_CONFIG		0
DUPLICATION_PERCENTAGE_PRIMARY_CONFIG		-
DUPLICATION_NUMBER_OF_DUPLICATED_LINES_PRIMARY_ROOT		0
DUPLICATION_NUMBER_OF_CLEANED_LINES_PRIMARY_ROOT		0
DUPLICATION_PERCENTAGE_PRIMARY_ROOT		-
DUPLICATION_NUMBER_OF_DUPLICATED_LINES_JS		4,834
DUPLICATION_NUMBER_OF_CLEANED_LINES_JS		9,603
DUPLICATION_PERCENTAGE_JS		50.34
TOTAL_ANALYSIS_TIME_IN_MILLIS		2,364
